Mecanisme;Taux;Taux_num;Variable;Type;Methode;RMSE;RMSE_std;NRMSE;MAE;MAE_std;Bias;KS_pvalue;Wilcoxon_pvalue;F1;Accuracy;Kappa;MCC;Chi2_pvalue;Temps_moyen;Var_Ratio;F1_std
MCAR;10%;0.1;Totc;Continue;KNN (k=5);0.40650250309762087;0.044271482806971935;0.17597510956606965;0.3359007991242474;0.039035072823048085;0.009516387520525473;0.9894217343168668;0.5216737800035764;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;lu(mmol/l);Continue;KNN (k=5);3.986977279007809;0.6027485156486552;0.13216393536280913;2.9689065178324006;0.538410021581571;0.5192118319399379;0.9774805415489508;0.37095082445315736;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;HTA;Binaire;KNN (k=5);;;;;;;;;0.7575215297069123;0.7726947637292465;0.45246105481836896;0.47725410179173944;2.4860636260005527e-59;0.10719585418701172;0.9216895018903962;0.09082638714599112
MCAR;10%;0.1;HTS/HTD;Ordinale;KNN (k=5);;;;;;;;;0.431280595809333;0.38203869257209083;0.19723566711425924;0.25510881006485353;1.7170610629117336e-135;0.10719585418701172;0.9216895018903962;0.0843005196739858
MCAR;10%;0.1;Profil_glycemique;Ordinale;KNN (k=5);;;;;;;;;0.3703858629208033;0.3281428571428572;0.14204862993300946;0.17609707450715276;1.0953549742508104e-126;0.10719585418701172;0.9216895018903962;0.10930206178198028
MCAR;10%;0.1;Sexe;Binaire;KNN (k=5);;;;;;;;;0.49401845710141556;0.5095543696405765;0.009032949197814633;0.0052741085677350365;5.577587768024811e-54;0.10719585418701172;0.9216895018903962;0.13790528210942965
MCAR;10%;0.1;Adipo HMW;Continue;MICE (BayesianRidge);7.0942848078709435;3.057145994103481;0.1458806619060275;4.610384215362389;0.9440705602827003;-0.18476535306495967;0.8789249142493019;0.5916021014505531;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Age;Continue;MICE (BayesianRidge);15.526521769027124;2.0438305461247634;0.2875281809079097;12.18187629834016;1.7003172862044313;-2.278472650689884;0.9999911146411596;0.5679065633914433;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Glibenclamide 5mg;Continue;MICE (BayesianRidge);6.7192978474493446;0.7948213585038565;0.3359648923724672;5.448985427302649;0.594491879874626;0.30388123323592187;0.8993540169933528;0.44686589275370353;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Glu;Continue;MICE (BayesianRidge);0.19081318779719342;0.09865981139670675;0.035140550238893814;0.05656061115981681;0.04171301443028959;0.009982978647149199;1.0;0.49217288375984936;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;HDL;Continue;MICE (BayesianRidge);0.12960605287063529;0.0114757694699028;0.09063360340603867;0.09994003215665641;0.010422392978317402;-0.009903192567183621;0.9999997646949922;0.5468990676391037;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;HOMA-IR;Continue;MICE (BayesianRidge);16.841750673722014;4.110079076769143;0.16847249661836156;11.47380080622803;1.5621865468251208;-1.2184436070844447;0.7465048266309239;0.21399465356953443;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;HOMAB%;Continue;MICE (BayesianRidge);86.32853667487218;14.883021435061305;0.2520541216784589;59.03974182481536;7.8517666536784905;-12.191225860938577;0.9987014030894533;0.6741820567824106;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;HOMAS%;Continue;MICE (BayesianRidge);498.860204588935;141.4592410845034;0.16288249080515066;367.64978307898815;71.0525757128626;-15.860132762224481;0.8646093791981597;0.2861871401939425;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;IMC;Continue;MICE (BayesianRidge);5.87437706549526;1.1737390728474255;0.14723524437780294;4.71322841971749;0.8055439952755085;-0.34106143932342614;0.9999999983183667;0.44752313976641744;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Ins (µUI/mL);Continue;MICE (BayesianRidge);1.4201953722666354;0.605917571260304;0.024523591545156646;0.450211631274407;0.2805298905979948;0.042990522490492955;0.9999999999999369;0.5115638056433454;;;;;;3.8965205192565917;1.0064673867892004;
